Unnamed: 0;C.P.;Dirección;Horario;Latitud;Localidad;Longitud (WGS84);Margen;Municipio;Precio Biodiesel;Precio Bioetanol;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 98 E10;Precio Gasolina 98 E5;Precio Hidrogeno;Provincia;Remisión;Rótulo;Tipo Venta;% BioEtanol;% Éster metílico;IDEESS;IDMunicipio;IDProvincia;IDCCAA;Isla;IdIsla
9540;38350;CARRETERA GENERAL DEL NORTE KM. 79;L-D: 24H;28,477472;TACORONTE;-16,411778;D;Tacoronte;;;;;;1,248;;1,358;;1,278;;;1,398;;SANTA CRUZ DE TENERIFE;dm;TGAS TACORONTE;P;0;0;7733;5733;38;5;Tenerife;2
9541;38350;AUTOPISTA AUTOPISTA EL TORREON KM. 11,00;"L-S: 06:00-00:00; D: 08:00-14:00";28,480694;TACORONTE;-16,397972;D;Tacoronte;;;;;;1,279;;1,389;;1,299;;;1,429;;SANTA CRUZ DE TENERIFE;dm;BP TACORONTE;P;0;0;7770;5733;38;5;Tenerife;2
9542;38435;CARRETERA TF-82 KM. 8;L-D: 06:00-21:00;28,356333;EL TANQUE;-16,777139;I;El Tanque;;;;;;1,249;;;;1,259;;;1,349;;SANTA CRUZ DE TENERIFE;dm;REPSOL EL TANQUE;P;0;0;7682;5734;38;5;Tenerife;2
9543;38770;AVENIDA LA CONSTITUCION, 4;L-D: 06:00-22:00;28,641694;TAZACORTE;-17,934722;N;Tazacorte;;;;;;1,417;;;;1,528;;;1,623;;SANTA CRUZ DE TENERIFE;dm;SHELL TAZACORTE;P;0;0;10900;5735;38;5;La Palma;5
9544;38280;CARRETERA GENERAL A PUNTA HIDALGO KM. 320;"L-V: 06:00-22:00; S-D: 07:00-22:00";28,524306;TEGUESTE CENTRO;-16,350528;D;Tegueste;;;;;;1,279;;1,389;;1,299;;;1,429;;SANTA CRUZ DE TENERIFE;OM;BP TEGUESTE;P;0;0;15101;5736;38;5;Tenerife;2
9545;38280;CARRETERA TF-13 LA LAGUNA - BAJAMAR KM. 6;L: 06:00-23:00;28,519972;TEGUESTE CENTRO;-16,335028;I;Tegueste;;;;;;1,255;;;;1,295;;;1,375;;SANTA CRUZ DE TENERIFE;dm;TGAS TEGUESTE;P;0;0;7728;5736;38;5;Tenerife;2
9546;38292;CARRETERA TF 154 DELPORTEZUELO ALS TODCAS KM. 1;L-D: 06:00-22:00;28,520389;EL SOCORRO;-16,356861;N;Tegueste;;;;;;1,279;;;;1,299;;;1,424;;SANTA CRUZ DE TENERIFE;OM;DISA EL SOCORRO;P;0;0;7865;5736;38;5;Tenerife;2
9547;38870;CALLE CAIDERO, 6;L-D: 06:00-22:00;28,0945;LA CALERA;-17,335611;D;Valle Gran Rey;;;;;;1,516;;1,618;;1,516;;;1,636;;SANTA CRUZ DE TENERIFE;OM;DISA VALLE GRAN REY;P;0;0;9846;5738;38;5;La Gomera;6
9548;38840;CALLE PEDRO GARCIA CABRERA, 10;L-S: 07:30-21:00;28,179028;VALLEHERMOSO;-17,264972;D;Vallehermoso;;;;;;1,516;;;;1,516;;;1,636;;SANTA CRUZ DE TENERIFE;OM;DISA VALLEHERMOSO;P;0;0;7953;5739;38;5;La Gomera;6
9549;38869;CARRETERA LOS APARTADEROS KM. 1;L-D: 08:00-19:00;28,106778;CHIPUDE;-17,277722;I;Vallehermoso;;;;;;1,516;;;;1,516;;;1,636;;SANTA CRUZ DE TENERIFE;dm;OCÉANO CHIPUDE;P;0;0;7878;5739;38;5;La Gomera;6
9550;38900;CALLE CONSTITUCION, 22;"L-S: 06:00-22:00; D: 08:00-22:00";27,811667;VALVERDE DEL HIERRO;-17,914222;D;Valverde;;;;;;1,621;;1,723;;1,611;;;1,73;;SANTA CRUZ DE TENERIFE;OM;DISA VALVERDE;P;0;0;7833;5740;38;5;El Hierro;7
9551;38380;CARRETERA CTRA. GRAL. DEL  NORTE KM. 27;L-D: 06:00-22:00;28,436083;LA VICTORIA DE ACENTEJO ;-16,466778;I;La Victoria de Acentejo;;;;;;1,314;;1,424;;1,323;;;1,437;;SANTA CRUZ DE TENERIFE;OM;SHELL LA VICTORIA;P;0;0;9629;5741;38;5;Tenerife;2
9552;38613;CARRETERA CARRETERA GENERAL 821 KM. 68,80;"L-S: 07:00-21:00; D: 08:00-14:00";28,153028;VILAFLOR;-16,640167;N;Vilaflor;;;;;;1,304;;;;1,324;;;1,415;;SANTA CRUZ DE TENERIFE;dm;DISA VILAFLOR;P;0;0;7951;5742;38;5;Tenerife;2
9553;38739;LODERO S/N (AEROPUERTO -MAZO km 5);L-D: 07:00-21:00;28,619056;LODERO;-17,752667;N;Villa de Mazo;;;;;;1,415;;;;1,525;;;1,62;;SANTA CRUZ DE TENERIFE;dm;DISA AEROPUERTO LA PALMA;P;0;0;7848;5743;38;5;La Palma;5
